day,counts
2019-08-25T22:00:00.000Z,3167
2019-09-01T22:00:00.000Z,3386
2019-09-08T22:00:00.000Z,4492
2019-09-15T22:00:00.000Z,3421
2019-09-22T22:00:00.000Z,3863
2019-09-29T22:00:00.000Z,4028
2019-10-06T22:00:00.000Z,3436
2019-10-13T22:00:00.000Z,3342
2019-10-20T22:00:00.000Z,3568
2019-10-27T23:00:00.000Z,3580
2019-11-03T23:00:00.000Z,2904
2019-11-10T23:00:00.000Z,2778
2019-11-17T23:00:00.000Z,2540
2019-11-24T23:00:00.000Z,2912
2019-12-01T23:00:00.000Z,2703
2019-12-08T23:00:00.000Z,2536
2019-12-15T23:00:00.000Z,2109
2019-12-22T23:00:00.000Z,2247
2019-12-29T23:00:00.000Z,4370
2020-01-05T23:00:00.000Z,1915
2020-01-12T23:00:00.000Z,2178
2020-01-19T23:00:00.000Z,2218
2020-01-26T23:00:00.000Z,2414
2020-02-02T23:00:00.000Z,2868
2020-02-09T23:00:00.000Z,2551
2020-02-16T23:00:00.000Z,2857
2020-02-23T23:00:00.000Z,3514
2020-03-01T23:00:00.000Z,3120
2020-03-08T23:00:00.000Z,2282
2020-03-15T23:00:00.000Z,737
2020-03-22T23:00:00.000Z,213
2020-03-29T22:00:00.000Z,288
2020-04-05T22:00:00.000Z,154
2020-04-12T22:00:00.000Z,157
2020-04-19T22:00:00.000Z,152
2020-04-26T22:00:00.000Z,288
2020-05-03T22:00:00.000Z,220
2020-05-10T22:00:00.000Z,259
2020-05-17T22:00:00.000Z,484
2020-05-24T22:00:00.000Z,481
2020-05-31T22:00:00.000Z,809
2020-06-07T22:00:00.000Z,1011
2020-06-14T22:00:00.000Z,830
2020-06-21T22:00:00.000Z,1023
2020-06-28T22:00:00.000Z,1276
2020-07-05T22:00:00.000Z,1411
2020-07-12T22:00:00.000Z,1642
2020-07-19T22:00:00.000Z,1914
2020-07-26T22:00:00.000Z,2328
2020-08-02T22:00:00.000Z,2182
2020-08-09T22:00:00.000Z,2207
2020-08-16T22:00:00.000Z,1753
2020-08-23T22:00:00.000Z,1225
